_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43eaa751eceec5c3085107,Evolve,150-500人,数据分析,2019-07-09,上海,本科,数据分析专员,五险一金 弹性工作 年终奖金 节日福利,经验1-3年,20k-25k,上市公司,"社交,消费生活"
5d43eaa751eceec5c3085108,叠纸游戏,500-2000人,数据分析,2019-08-01,上海,本科,运营数据分析 (MJ000129),高额奖金,经验5-10年,20k-35k,B轮,游戏
5d43eaa751eceec5c3085109,上海晏鼠计算机技术有限公司,15-50人,数据分析,2019-07-29,上海,本科,实习生-数据分析助理,周末双休、五险一金、员工旅游,经验应届毕业生,3k-4k,不需要融资,"移动互联网,电商"
5d43eaa751eceec5c308510a,小米,2000人以上,数据分析,2019-08-01,上海,不限,信贷数据分析师(上海),上市公司 年终奖 餐补,经验不限,15k-29k,D轮及以上,硬件
5d43eaa851eceec5c308510b,靖琪,50-150人,数据分析,2019-08-01,上海,本科,高级数据分析总监,"公司实力强,成长空间大,福利待遇好",经验5-10年,50k-100k,天使轮,移动互联网
5d43eaa851eceec5c308510c,京东集团,2000人以上,数据分析,2019-07-31,上海,本科,SQL数据分析师,电商平台业务,经验3-5年,15k-25k,上市公司,电商
5d43eaa851eceec5c308510d,储田商务,15-50人,数据分析,2019-07-24,上海,本科,实习生 - SEO/SEM/数据分析方向,"实战培训,学习补贴,可转正,环境好",经验应届毕业生,2k-4k,不需要融资,"移动互联网,数据服务"
5d43eaa851eceec5c308510e,中科院上海高研院,500-2000人,数据分析,2019-07-12,上海,硕士,能源数据分析助理研究员,事业单位,经验不限,10k-18k,不需要融资,"电商,数据服务"
5d43eaa851eceec5c308510f,驰骛科技ChiefClouds,50-150人,数据分析,2019-08-0211:03:00,上海,本科,BI数据分析师,年度体检免费晚餐额外商保带薪10天年假,经验3-5年,15k-30k,A轮,"数据服务,移动互联网"
5d43eaa851eceec5c3085110,美图公司,2000人以上,数据分析,2019-08-0211:25:00,上海,本科,美图商业策略数据分析师,上市公司 六险一金 核心业务,经验3-5年,15k-30k,上市公司,硬件
